Trait,fpScoreSetID,ScoreSetCreationDate,fpNodeId,sampleNum,Value,Row,Column,line id,line name,packet_stemid,position,pot_stemid
Flowering Date,194,20180524,280556,1,20190103,1,1,251,DERRIMUT,ST50PKT0YJJ7,1A1,ST50PT0W309
Flowering Date,194,20180524,280946,1,20180724,33,7,234,KENNEDY,ST50PKT0YJ58,3A7,ST50PT0W31Y
Flowering Date,194,20180524,280955,1,20180724,34,4,243,MACE,ST50PKT0YJ4Z,3B4,ST50PT0W2YL
Flowering Date,196,20180725,280556,1,20180806,1,1,251,DERRIMUT,ST50PKT0YJJ7,1A1,ST50PT0W309
Flowering Date,196,20180725,280557,1,20180806,1,2,198,WESTONIA,ST50PKT0YJJ6,1A2,ST50PT0W35J
Flowering Date,196,20180725,280558,1,20180824,1,3,145,YANAC,ST50PKT0YJJ5,1A3,ST50PT0W3M0
Flowering Date,196,20180725,280559,1,20180927,1,4,116,FRAME,ST50PKT0YJJ4,1A4,ST50PT0W3WV
Flowering Date,196,20180725,280560,1,20180910,1,5,207,YITPI,ST50PKT0YJJ3,1A5,ST50PT0W3BF
Flowering Date,196,20180725,280561,1,20180808,1,6,216,GS50A,ST50PKT0YJJ2,1A6,ST50PT0W2XD
Flowering Date,196,20180725,280562,1,20180806,1,7,250,EGA_STAMPEDE,ST50PKT0YJJ1,1A7,ST50PT0W30H
Flowering Date,196,20180725,280563,1,20180801,1,8,173,PBW343,ST50PKT0YJJ0,1A8,ST50PT0W3CZ
Flowering Date,196,20180725,280564,1,20180815,1,9,83,MOLINEUX,ST50PKT0YJHZ,1A9,ST50PT0W3YD
Flowering Date,196,20180725,280565,1,20180913,1,10,11,RANEE,ST50PKT0YJHY,1A10,ST50PT0W493
Flowering Date,196,20180725,280566,1,20180808,1,11,279,PHANTOM,ST50PKT0YJHX,1A11,ST50PT0W2SL
Flowering Date,196,20180725,280567,1,20180808,1,12,268,FRONTANA,ST50PKT0YJHW,1A12,ST50PT0W2PW
