fpNodeId,Row,Column,line id,line name,packet_stemid,position,pot_stemid,Flowering Date_20180524.40.1,Flowering Date_20180725.15.1,Flowering Date_20180817.2.1,final leaf number_20180524.41.1,final leaf number_20181204.26.1,final leaf number_20181210.31.1,spikelet number_20180524.42.1,spikelet number_20181204.27.1,spikelet number_20181210.32.1,Height_20180524.43.1,Height_20181204.28.1,Height_20181210.33.1,tillers_20180524.44.1,tillers_20181204.29.1,tillers_20181210.34.1,empty spikelets_20180524.45.1,empty spikelets_20181204.30.1,empty spikelets_20181210.35.1,Spike Length_20181122.59.1,Spike Length_20181204.31.1,Spike Length_20181210.36.1,Photo_20181129.60.1,Photo_20181204.32.1,seed weight_20190208.65.1,plant_date_20190318.1.1,vern_end_date_20190318.1.1
280556,1,1,251,DERRIMUT,ST50PKT0YJJ7,1A1,ST50PT0W309,20190103,20180806,,8,,,14,,,295,,,7,,,2,,,50,,,,,5.47,20180413,20180613
280557,1,2,198,WESTONIA,ST50PKT0YJJ6,1A2,ST50PT0W35J,,20180806,,7,,,18,,,378,,,4,,,3,,,68,,,,,2.92,20180413,20180613
280558,1,3,145,YANAC,ST50PKT0YJJ5,1A3,ST50PT0W3M0,,20180824,,8,,,12,,,536,,,4,,,0,,,74,,,,,6.43,20180413,20180613
280559,1,4,116,FRAME,ST50PKT0YJJ4,1A4,ST50PT0W3WV,,20180927,,9,,,26,,,498,,,6,,,4,,,107,,,,,8.09,20180413,20180613
280560,1,5,207,YITPI,ST50PKT0YJJ3,1A5,ST50PT0W3BF,,20180910,,10,,,26,,,524,,,3,,,8,,,78,,,,,3.12,20180413,20180613
280561,1,6,216,GS50A,ST50PKT0YJJ2,1A6,ST50PT0W2XD,,20180808,,8,,,16,,,663,,,4,,,1,,,80,,,,,5.81,20180413,20180613
280562,1,7,250,EGA_STAMPEDE,ST50PKT0YJJ1,1A7,ST50PT0W30H,,20180806,,,,8,,,13,,,495,,,4,,,1,,,69,,,2.34,20180413,20180613
280563,1,8,173,PBW343,ST50PKT0YJJ0,1A8,ST50PT0W3CZ,,20180801,,7,,,18,,,426,,,4,,,3,,,83,,,,,3.13,20180413,20180613
280564,1,9,83,MOLINEUX,ST50PKT0YJHZ,1A9,ST50PT0W3YD,,20180815,,8,,,19,,,511,,,6,,,4,,,88,,,,,6.69,20180413,20180613
280565,1,10,11,RANEE,ST50PKT0YJHY,1A10,ST50PT0W493,,20180913,,9,,,20,,,724,,,4,,,4,,,73,,,,,5.73,20180413,20180613
280566,1,11,279,PHANTOM,ST50PKT0YJHX,1A11,ST50PT0W2SL,,20180808,,8,,,18,,,438,,,6,,,1,,,84,,,,,12.24,20180413,20180613
280567,1,12,268,FRONTANA,ST50PKT0YJHW,1A12,ST50PT0W2PW,,20180808,,8,,,18,,,685,,,7,,,1,,,95,,,,,4.99,20180413,20180613
